ID,GoalPos,PresPos,PresSpd,PresVolt,PresCurent,PresTemp
2.00,0.00,69.31,0.00,239.00,7.00,38.00
2.00,0.00,71.60,550.00,237.00,42.00,38.00
2.00,0.00,75.03,650.00,235.00,139.00,38.00
2.00,0.00,78.19,550.00,233.00,169.00,38.00
2.00,0.00,78.46,0.00,233.00,105.00,39.00
2.00,0.00,79.78,250.00,235.00,95.00,39.00
2.00,0.00,80.04,0.00,235.00,95.00,39.00
2.00,0.00,80.04,0.00,235.00,95.00,39.00
2.00,0.00,80.04,0.00,235.00,94.00,39.00
2.00,0.00,80.04,0.00,235.00,94.00,39.00
2.00,0.00,80.04,0.00,235.00,94.00,39.00
2.00,0.00,80.04,0.00,235.00,94.00,39.00
2.00,0.00,80.04,0.00,235.00,93.00,39.00
2.00,0.00,80.04,0.00,235.00,93.00,39.00
2.00,0.00,80.04,0.00,235.00,93.00,39.00
2.00,0.00,80.04,0.00,235.00,92.00,39.00
2.00,0.00,80.04,0.00,235.00,92.00,39.00
2.00,0.00,80.04,0.00,235.00,92.00,39.00
2.00,0.00,80.04,0.00,235.00,92.00,39.00
2.00,0.00,80.04,0.00,235.00,92.00,39.00
2.00,0.00,80.04,0.00,235.00,91.00,39.00
2.00,0.00,80.04,0.00,235.00,91.00,39.00
2.00,0.00,80.04,0.00,235.00,91.00,39.00
2.00,0.00,80.04,0.00,235.00,91.00,39.00
2.00,0.00,80.04,0.00,235.00,91.00,39.00
2.00,0.00,80.04,0.00,235.00,90.00,39.00
2.00,0.00,80.04,0.00,235.00,90.00,39.00
2.00,0.00,80.04,0.00,235.00,90.00,39.00
2.00,0.00,80.04,0.00,235.00,90.00,39.00
2.00,0.00,80.04,0.00,235.00,90.00,39.00
2.00,0.00,80.04,0.00,234.00,89.00,39.00
2.00,0.00,80.04,0.00,235.00,89.00,39.00
2.00,0.00,80.04,0.00,235.00,89.00,39.00
2.00,0.00,80.04,0.00,232.00,164.00,39.00
2.00,0.00,82.33,800.00,229.00,84.00,39.00
2.00,0.00,86.11,600.00,228.00,69.00,39.00
2.00,0.00,92.18,1200.00,231.00,213.00,39.00
2.00,0.00,99.92,1400.00,234.00,102.00,39.00
2.00,0.00,107.48,1350.00,237.00,45.00,39.00
2.00,0.00,114.43,1200.00,238.00,20.00,39.00
2.00,0.00,117.95,450.00,239.00,0.00,39.00
2.00,0.00,119.18,0.00,239.00,1.00,39.00
2.00,0.00,119.27,0.00,239.00,4.00,39.00
2.00,0.00,118.39,-250.00,239.00,22.00,39.00
2.00,0.00,117.42,-150.00,237.00,26.00,39.00
2.00,0.00,117.33,0.00,237.00,24.00,39.00
2.00,0.00,117.42,0.00,238.00,22.00,39.00
2.00,0.00,117.51,0.00,237.00,22.00,39.00
2.00,0.00,117.51,0.00,238.00,22.00,39.00
2.00,0.00,117.51,0.00,237.00,22.00,39.00
2.00,0.00,117.60,50.00,242.00,21.00,39.00
2.00,0.00,117.60,0.00,237.00,22.00,39.00
2.00,0.00,117.51,0.00,237.00,22.00,39.00
2.00,0.00,117.51,0.00,238.00,22.00,39.00
