ID,GoalPos,PresPos,PresSpd,PresVolt,PresCurent,PresTemp
2.00,0.00,104.58,0.00,239.00,15.00,41.00
2.00,0.00,104.58,0.00,239.00,11.00,41.00
2.00,0.00,104.05,-100.00,239.00,11.00,41.00
2.00,0.00,103.61,-100.00,239.00,14.00,41.00
2.00,0.00,102.73,-200.00,239.00,18.00,41.00
2.00,0.00,101.94,-50.00,239.00,16.00,41.00
2.00,0.00,101.41,0.00,239.00,13.00,41.00
2.00,0.00,100.97,-150.00,239.00,13.00,41.00
2.00,0.00,100.36,-200.00,239.00,20.00,41.00
2.00,0.00,99.65,-50.00,239.00,19.00,41.00
2.00,0.00,98.95,-150.00,239.00,18.00,41.00
2.00,0.00,98.51,-150.00,239.00,14.00,41.00
2.00,0.00,98.07,-200.00,239.00,16.00,41.00
2.00,0.00,97.54,-100.00,239.00,21.00,41.00
2.00,0.00,96.93,-50.00,239.00,17.00,41.00
2.00,0.00,96.22,-150.00,239.00,17.00,41.00
2.00,0.00,95.78,-50.00,239.00,14.00,41.00
2.00,0.00,95.34,-50.00,239.00,15.00,41.00
2.00,0.00,94.82,-150.00,239.00,16.00,41.00
2.00,0.00,94.29,-100.00,239.00,19.00,41.00
2.00,0.00,93.32,-200.00,237.00,27.00,41.00
2.00,0.00,92.70,-50.00,237.00,21.00,41.00
2.00,0.00,92.35,-50.00,239.00,23.00,41.00
2.00,0.00,91.91,0.00,238.00,20.00,41.00
2.00,0.00,91.39,-50.00,238.00,22.00,41.00
2.00,0.00,90.51,-150.00,237.00,28.00,41.00
2.00,0.00,89.71,-100.00,237.00,25.00,41.00
2.00,0.00,89.19,0.00,237.00,23.00,41.00
2.00,0.00,88.83,-50.00,237.00,22.00,41.00
2.00,0.00,88.48,-50.00,239.00,19.00,41.00
2.00,0.00,87.96,-100.00,239.00,17.00,41.00
2.00,0.00,87.25,-150.00,239.00,20.00,41.00
2.00,0.00,86.64,-200.00,239.00,25.00,41.00
2.00,0.00,85.93,-200.00,237.00,24.00,42.00
2.00,0.00,85.23,-150.00,237.00,20.00,41.00
2.00,0.00,84.79,-200.00,237.00,23.00,41.00
2.00,0.00,84.26,-150.00,239.00,23.00,41.00
2.00,0.00,83.65,-200.00,237.00,23.00,41.00
2.00,0.00,82.85,-50.00,237.00,24.00,41.00
2.00,0.00,82.33,-200.00,237.00,25.00,41.00
2.00,0.00,82.06,-100.00,237.00,32.00,41.00
2.00,0.00,81.97,0.00,237.00,32.00,41.00
2.00,0.00,81.97,0.00,237.00,32.00,41.00
2.00,0.00,81.97,0.00,237.00,32.00,41.00
2.00,0.00,81.97,0.00,237.00,32.00,41.00
2.00,0.00,81.97,0.00,237.00,32.00,41.00
2.00,0.00,81.97,0.00,237.00,32.00,41.00
2.00,0.00,81.97,0.00,237.00,32.00,41.00
2.00,0.00,81.97,0.00,237.00,32.00,41.00
2.00,0.00,81.97,0.00,237.00,32.00,41.00
2.00,0.00,81.97,0.00,237.00,32.00,41.00
2.00,0.00,81.97,0.00,237.00,32.00,41.00
2.00,0.00,81.97,0.00,237.00,32.00,41.00
2.00,0.00,81.97,0.00,237.00,41.00,41.00
2.00,0.00,81.97,0.00,236.00,54.00,41.00
2.00,0.00,81.97,0.00,236.00,72.00,41.00
2.00,0.00,81.97,0.00,235.00,91.00,41.00
2.00,0.00,81.97,0.00,234.00,114.00,41.00
2.00,0.00,81.97,0.00,234.00,136.00,41.00
2.00,0.00,81.97,0.00,233.00,160.00,41.00
2.00,0.00,81.97,0.00,232.00,190.00,41.00
2.00,0.00,81.97,0.00,231.00,218.00,41.00
2.00,0.00,81.97,0.00,230.00,242.00,41.00
2.00,0.00,83.29,350.00,232.00,205.00,41.00
2.00,0.00,83.82,0.00,233.00,150.00,41.00
2.00,0.00,85.32,250.00,233.00,119.00,41.00
2.00,0.00,86.55,300.00,234.00,107.00,41.00
2.00,0.00,87.25,150.00,234.00,121.00,41.00
2.00,0.00,87.25,0.00,233.00,148.00,41.00
2.00,0.00,87.25,0.00,233.00,172.00,41.00
2.00,0.00,87.25,0.00,232.00,199.00,41.00
2.00,0.00,87.60,200.00,233.00,168.00,41.00
2.00,0.00,88.48,0.00,234.00,121.00,41.00
2.00,0.00,89.71,100.00,232.00,107.00,41.00
2.00,0.00,90.77,300.00,234.00,137.00,41.00
2.00,0.00,90.77,0.00,233.00,109.00,41.00
2.00,0.00,91.74,0.00,234.00,145.00,41.00
2.00,0.00,91.74,0.00,233.00,164.00,41.00
2.00,0.00,92.70,200.00,234.00,132.00,41.00
2.00,0.00,93.14,0.00,235.00,104.00,41.00
2.00,0.00,94.11,50.00,234.00,133.00,41.00
2.00,0.00,94.20,0.00,233.00,158.00,41.00
2.00,0.00,94.20,0.00,232.00,188.00,41.00
2.00,0.00,94.20,0.00,231.00,215.00,41.00
2.00,0.00,94.20,0.00,232.00,150.00,41.00
2.00,0.00,95.78,500.00,232.00,131.00,41.00
2.00,0.00,97.45,650.00,234.00,109.00,41.00
2.00,0.00,98.86,350.00,235.00,98.00,41.00
2.00,0.00,99.65,250.00,235.00,85.00,41.00
2.00,0.00,99.92,0.00,235.00,103.00,41.00
2.00,0.00,99.92,0.00,234.00,127.00,41.00
2.00,0.00,99.92,0.00,233.00,120.00,41.00
